,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,Class
46160,Mont Kiara,1450000.0,3+1,5.0,2.0,Condominium (Duplex),3200.0,Partly Furnished,Land area
46161,KLCC,2400000.0,2,2.0,1.0,Serviced Residence,1006.0,Fully Furnished,Built-up
46162,KLCC,1160000.0,1+1,1.0,1.0,Serviced Residence (Intermediate),900.0,Fully Furnished,Built-up
46163,KLCC,1450000.0,1+1,1.0,1.0,Serviced Residence (Intermediate),1050.0,Fully Furnished,Built-up
46166,Bukit Jalil,670000.0,3,2.0,2.0,Condominium (Intermediate),1325.0,Partly Furnished,Built-up
46167,Mont Kiara,3600000.0,4,6.0,4.0,Bungalow,2000.0,Partly Furnished,Land area
46169,Kepong,599000.0,3,2.0,1.0,1-sty Terrace/Link House (Intermediate),1302.0,Partly Furnished,Land area
46170,Bangsar,1800.0,2,1.0,1.0,Condominium (Intermediate),860.0,Fully Furnished,Built-up
46171,Sentul,1500.0,3+1,2.0,2.0,Serviced Residence (Corner),1000.0,Partly Furnished,Built-up
46172,Taman Desa,690000.0,3+1,3.0,2.0,Condominium (Corner),1118.0,Partly Furnished,Built-up
46173,KLCC,1360000.0,2,2.0,2.0,Condominium,871.0,Partly Furnished,Built-up
46176,Bukit Jalil,1630000.0,5,4.0,1.0,2.5-sty Terrace/Link House (Intermediate),3350.0,Partly Furnished,Built-up
46177,Desa Petaling,349000.0,3,2.0,2.0,Apartment,846.0,Unfurnished,Built-up
46179,Kuchai Lama,593000.0,3,2.0,2.0,Serviced Residence,864.0,Partly Furnished,Built-up
46181,Sentul,360000.0,3,2.0,1.0,Condominium (Intermediate),877.0,Partly Furnished,Built-up
46188,Bukit Jalil,1360000.0,5+1,6.0,2.0,3-sty Terrace/Link House (EndLot),1650.0,Partly Furnished,Land area
46193,Ampang Hilir,1000000.0,2,2.0,2.0,Serviced Residence (Intermediate),1120.0,Fully Furnished,Built-up
46194,Jalan Klang Lama (Old Klang Road),560000.0,3+1,4.0,2.0,Condominium (Intermediate),1328.0,Unfurnished,Built-up
46195,Bukit Jalil,510000.0,3,3.0,2.0,Condominium (Intermediate),1003.0,Unfurnished,Built-up
46196,Cheras,688000.0,2,2.0,1.0,Serviced Residence (Intermediate),800.0,Partly Furnished,Built-up
46197,Cheras,1000000.0,3,2.0,2.0,Serviced Residence (Intermediate),1125.0,Partly Furnished,Built-up
46198,Cheras,560000.0,3+1,3.0,1.0,Condominium (Intermediate),1280.0,Partly Furnished,Built-up
46199,Sungai Besi,465000.0,3,2.0,2.0,Condominium,1074.0,Unfurnished,Built-up
46200,Bukit Jalil,1000000.0,4+1,4.0,3.0,Condominium,1772.0,Partly Furnished,Built-up
46201,Sentul,870000.0,3,3.0,1.0,Condominium (Intermediate),1186.0,Unfurnished,Built-up
46202,Sentul,870000.0,3,3.0,1.0,Condominium (Intermediate),1186.0,Unfurnished,Built-up
46203,Bukit Bintang,980000.0,1,1.0,1.0,Condominium (Intermediate),624.0,Fully Furnished,Built-up
46209,Pantai,498000.0,3,2.0,1.0,Condominium (Intermediate),1100.0,Fully Furnished,Built-up
46212,Wangsa Maju,465000.0,3,2.0,3.0,Condominium (Intermediate),1150.0,Unfurnished,Built-up
46215,Mont Kiara,2660000.0,4+1,6.0,3.0,Condominium,3409.0,Fully Furnished,Built-up
46216,Dutamas,900000.0,2,2.0,1.0,Serviced Residence,997.0,Fully Furnished,Built-up
46217,Dutamas,1000000.0,2,2.0,1.0,Serviced Residence,1145.0,Fully Furnished,Built-up
46218,Mont Kiara,850000.0,3,2.0,1.0,Serviced Residence,1250.0,Fully Furnished,Built-up
46222,Jalan Klang Lama (Old Klang Road),420000.0,3,2.0,1.0,Condominium (Corner),980.0,Fully Furnished,Built-up
46223,Cheras,2300000.0,5,5.0,3.0,Semi-detached House,3500.0,Partly Furnished,Land area
46225,Segambut,720000.0,2+1,2.0,2.0,Condominium (Intermediate),1021.0,Partly Furnished,Built-up
46226,Salak Selatan,609000.0,3,2.0,2.0,Serviced Residence,1089.0,Partly Furnished,Built-up
46229,Kepong,748000.0,3,2.0,2.0,1-sty Terrace/Link House (Intermediate),14300.0,Partly Furnished,Land area
46230,Mont Kiara,580000.0,Studio,1.0,1.0,Serviced Residence,462.0,Fully Furnished,Built-up
46232,Mont Kiara,890000.0,2,2.0,1.0,Serviced Residence (Intermediate),861.0,Fully Furnished,Built-up
46233,Ampang,780000.0,2,2.0,1.0,Serviced Residence,1066.0,Fully Furnished,Built-up
46234,Mont Kiara,830000.0,3,2.0,1.0,Condominium (Corner),1228.0,Fully Furnished,Built-up
46235,KLCC,2780000.0,3+1,4.0,2.0,Serviced Residence,3283.0,Fully Furnished,Built-up
46238,Puchong,1130000.0,5,4.0,3.0,3-sty Terrace/Link House (EndLot),2025.0,Partly Furnished,Land area
46243,Jalan Klang Lama (Old Klang Road),628000.0,2,2.0,1.0,Condominium (Intermediate),764.0,Partly Furnished,Built-up
46245,Bukit Jalil,300000.0,2,2.0,1.0,Apartment (Intermediate),732.0,Fully Furnished,Built-up
