,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,Class
23273,Cheras,680000.0,4,3.0,2.0,Townhouse (Corner),2333.0,Unfurnished,Built-up
23274,Damansara Heights,13800000.0,5+1,7.0,4.0,Bungalow,7468.0,Partly Furnished,Land area
23275,Cheras,650000.0,3+1,2.0,2.0,Condominium,1480.0,Partly Furnished,Built-up
23276,Desa Petaling,365000.0,3,2.0,1.0,Condominium,1009.0,Partly Furnished,Built-up
23277,Taman Desa,2500000.0,5,4.0,2.0,2-sty Terrace/Link House (Corner),3885.0,Partly Furnished,Land area
23278,Taman Desa,1500000.0,4,3.0,2.0,Condominium (Corner),2200.0,Fully Furnished,Land area
23279,Taman Desa,420000.0,3,2.0,1.0,Condominium (Intermediate),918.0,Partly Furnished,Land area
23280,Taman Desa,1500000.0,4,3.0,2.0,Condominium (Penthouse),2650.0,Partly Furnished,Land area
23281,Taman Desa,630000.0,3,2.0,1.0,Condominium (Intermediate),1100.0,Partly Furnished,Land area
23282,KL City,450000.0,3,2.0,1.0,Condominium (Corner),1065.0,Partly Furnished,Built-up
23283,KL Eco City,1200000.0,1,1.0,1.0,Condominium (Intermediate),797.0,Partly Furnished,Built-up
23285,Mont Kiara,1900000.0,3+1,5.0,3.0,Condominium,2535.0,Partly Furnished,Built-up
23286,Wangsa Maju,388000.0,3,2.0,1.0,Condominium (Intermediate),926.0,Unfurnished,Built-up
23287,Wangsa Maju,2100000.0,7,6.0,2.0,4-sty Terrace/Link House (Intermediate),4200.0,Fully Furnished,Built-up
23292,Bangsar,2100000.0,3,2.0,1.0,Condominium,2250.0,Fully Furnished,Built-up
23293,Bukit Jalil,305000.0,2,2.0,1.0,Apartment,737.0,Partly Furnished,Land area
23294,Kuchai Lama,1450000.0,5+1,4.0,4.0,3-sty Terrace/Link House (Intermediate),1400.0,Fully Furnished,Land area
23295,City Centre,1100000.0,3+1,3.0,1.0,Condominium (Intermediate),2111.0,Partly Furnished,Built-up
23296,Bandar Menjalara,420000.0,3,2.0,1.0,Condominium (Intermediate),1076.0,Partly Furnished,Built-up
23297,City Centre,938000.0,2,2.0,1.0,Condominium (Intermediate),1347.0,Fully Furnished,Built-up
23298,City Centre,1503000.0,3+1,5.0,2.0,Condominium (Corner),2505.0,Partly Furnished,Built-up
23301,Kepong,330000.0,3,2.0,1.0,Apartment (Corner),825.0,Partly Furnished,Built-up
23302,City Centre,830000.0,2,2.0,1.0,Condominium (Intermediate),1072.0,Fully Furnished,Built-up
23304,KLCC,3616000.0,4,4.0,2.0,Serviced Residence (EndLot),3897.0,Partly Furnished,Built-up
23305,City Centre,700000.0,2+1,2.0,1.0,Condominium,1248.0,Partly Furnished,Built-up
23306,Cheras,328000.0,3,2.0,1.0,Apartment (Intermediate),748.0,Partly Furnished,Built-up
23307,Jalan Klang Lama (Old Klang Road),1150000.0,2+2,2.0,2.0,Condominium (EndLot),1707.0,Unfurnished,Built-up
23308,Desa Petaling,288000.0,3,2.0,2.0,Apartment (Intermediate),740.0,Fully Furnished,Built-up
23312,Mont Kiara,840000.0,3,2.0,1.0,Condominium (Corner),1550.0,Partly Furnished,Built-up
23313,KLCC,940000.0,1,1.0,1.0,Serviced Residence (Intermediate),764.0,Fully Furnished,Built-up
23314,Taman Desa,657000.0,3,2.0,2.0,Condominium (Intermediate),1100.0,Partly Furnished,Built-up
23317,Setapak,2650000.0,4,4.0,2.0,Bungalow Land,6000.0,Partly Furnished,Land area
23319,Taman Desa,888000.0,5,4.0,3.0,Condominium (Corner),3343.0,Unfurnished,Built-up
23322,Taman Desa,3300000.0,4,3.0,6.0,2-sty Terrace/Link House (Corner),8600.0,Partly Furnished,Land area
23326,Taman Tun Dr Ismail,5400000.0,8,6.0,5.0,Bungalow,7200.0,Partly Furnished,Land area
23327,Sungai Besi,768000.0,2,3.0,2.0,Serviced Residence (Intermediate),1259.0,Partly Furnished,Built-up
23328,Ampang,1750000.0,4,4.0,2.0,Condominium,1832.0,Fully Furnished,Built-up
23329,Ampang,691600.0,1,2.0,2.0,Serviced Residence (Intermediate),981.0,Partly Furnished,Built-up
23331,Mont Kiara,648000.0,2,2.0,1.0,Condominium,950.0,Fully Furnished,Built-up
23332,Mont Kiara,670000.0,2,2.0,1.0,Condominium,931.0,Partly Furnished,Built-up
23334,Kepong,780000.0,4,3.0,2.0,2-sty Terrace/Link House (Intermediate),1400.0,Partly Furnished,Land area
23335,Bukit Jalil,520000.0,3,3.0,2.0,Condominium (Corner),1009.0,Unfurnished,Built-up
23336,Jalan Klang Lama (Old Klang Road),340000.0,3,2.0,1.0,Serviced Residence,950.0,Partly Furnished,Built-up
23337,KLCC,1500000.0,3,3.0,1.0,Condominium,1551.0,Fully Furnished,Built-up
23338,Mont Kiara,1450000.0,3+1,4.0,2.0,Condominium (Duplex),3200.0,Partly Furnished,Built-up
23339,Jalan Klang Lama (Old Klang Road),1027000.0,3+1,4.0,2.0,Condominium,1250.0,Partly Furnished,Built-up
23341,Taman Melawati,2330000.0,5+1,5.0,3.0,Bungalow,4479.0,Unfurnished,Built-up
23344,Wangsa Maju,856096.0,2,2.0,2.0,Condominium (Intermediate),1033.0,Partly Furnished,Land area
23345,Wangsa Maju,1613300.0,3+1,5.0,3.0,Condominium (Corner),2336.0,Partly Furnished,Land area
23346,Wangsa Maju,1200000.0,3+1,4.0,2.0,Condominium (Corner),1759.0,Fully Furnished,Land area
23352,KLCC,8000.0,4+1,4.0,2.0,Serviced Residence (Corner),2400.0,Partly Furnished,Land area
23354,KLCC,2800000.0,3+2,4.0,2.0,Serviced Residence (Corner),3080.0,Partly Furnished,Built-up
23355,KLCC,2000000.0,2+1,2.0,2.0,Condominium (Corner),2636.0,Fully Furnished,Built-up
23356,Jalan Klang Lama (Old Klang Road),920000.0,2+2,2.0,2.0,Condominium (EndLot),1523.0,Unfurnished,Built-up
23360,KL Sentral,1550000.0,1,2.0,1.0,Serviced Residence,1119.0,Fully Furnished,Built-up
23367,Sungai Besi,620000.0,3,2.0,2.0,Condominium,1111.0,Partly Furnished,Built-up
23368,Desa Pandan,1300000.0,3+1,3.0,2.0,Serviced Residence,1539.0,Partly Furnished,Land area
23369,KLCC,2800000.0,2+1,2.0,2.0,Serviced Residence (Corner),1459.0,Fully Furnished,Built-up
23370,KLCC,2080000.0,3+1,3.0,1.0,Serviced Residence,1496.0,Fully Furnished,Built-up
23371,Mont Kiara,2900000.0,4+1,6.0,3.0,Condominium (Corner),3137.0,Fully Furnished,Built-up
23375,Bangsar,990000.0,3,2.0,1.0,Condominium (Corner),1571.0,Partly Furnished,Built-up
23377,Bukit Jalil,980000.0,3+1,3.0,2.0,Condominium (Corner),1415.0,Fully Furnished,Built-up
23378,Cheras,440000.0,3,2.0,2.0,Condominium,850.0,Partly Furnished,Built-up
23380,Setapak,530000.0,4,2.0,2.0,Condominium (Intermediate),1450.0,Unfurnished,Built-up
23381,Setapak,610000.0,3+1,3.0,2.0,Condominium (Intermediate),1362.0,Partly Furnished,Built-up
23384,Setapak,490000.0,4,2.0,2.0,Condominium (Intermediate),1313.0,Partly Furnished,Built-up
23385,Setapak,660000.0,3+1,3.0,2.0,Condominium (Intermediate),1530.0,Partly Furnished,Built-up
23386,Setapak,670000.0,3+1,3.0,2.0,Condominium (Intermediate),1588.0,Partly Furnished,Built-up
23389,Wangsa Maju,450000.0,3,2.0,1.0,Condominium,1150.0,Fully Furnished,Built-up
23394,Taman Tun Dr Ismail,950000.0,3,2.0,1.0,Condominium (Intermediate),1350.0,Partly Furnished,Built-up
23395,Desa ParkCity,2550000.0,3+1,5.0,2.0,2-sty Terrace/Link House,2750.0,Partly Furnished,Built-up
23396,Jalan Klang Lama (Old Klang Road),655000.0,3,2.0,2.0,Serviced Residence (Intermediate),909.0,Partly Furnished,Built-up
23397,KL Sentral,1200000.0,1+1,1.0,1.0,Condominium,811.0,Fully Furnished,Built-up
23398,Bangsar,1350000.0,3+1,5.0,1.0,Condominium,1862.0,Fully Furnished,Built-up
23401,KL City,1350000.0,2+1,3.0,2.0,Serviced Residence (EndLot),1051.0,Partly Furnished,Built-up
23402,KL City,1350000.0,2,1.0,1.0,Serviced Residence (EndLot),990.0,Partly Furnished,Built-up
23404,KL City,2800000.0,2+1,3.0,1.0,Serviced Residence (EndLot),1441.0,Partly Furnished,Built-up
23412,Sentul,690000.0,2+1,2.0,2.0,Condominium,1087.0,Partly Furnished,Built-up
23415,Seputeh,5600000.0,6+1,6.0,3.0,Bungalow,4500.0,Partly Furnished,Built-up
23417,KLCC,6000.0,2+1,2.0,1.0,Serviced Residence,1195.0,Fully Furnished,Built-up
23418,Cheras,950000.0,1+1,1.0,1.0,Apartment,694.0,Partly Furnished,Built-up
23419,Cheras,1200000.0,2,2.0,1.0,Serviced Residence,931.0,Fully Furnished,Built-up
23420,City Centre,1300000.0,3+1,3.0,2.0,Condominium,1637.0,Fully Furnished,Built-up
23422,Jalan Klang Lama (Old Klang Road),400000.0,1,2.0,1.0,Serviced Residence,775.0,Partly Furnished,Built-up
23423,Cheras,455000.0,3,2.0,2.0,Condominium,850.0,Partly Furnished,Built-up
23427,Kepong,448000.0,3,3.0,2.0,Condominium (Intermediate),1073.0,Unfurnished,Built-up
23429,Segambut,890000.0,3+1,2.0,2.0,Condominium,1319.0,Partly Furnished,Built-up
23430,Dutamas,518000.0,4,2.0,1.0,Condominium,1400.0,Partly Furnished,Built-up
23431,Sentul,428000.0,3,2.0,2.0,Serviced Residence,852.0,Unfurnished,Built-up
23433,Keramat,526000.0,3,2.0,2.0,Condominium (Intermediate),1046.0,Unfurnished,Built-up
23434,Damansara Heights,1698000.0,1,2.0,2.0,Serviced Residence (Intermediate),1168.0,Partly Furnished,Built-up
23435,Damansara Heights,1900000.0,4+1,4.0,2.0,Serviced Residence (Intermediate),2078.0,Partly Furnished,Built-up
23436,Damansara Heights,1350000.0,2,2.0,1.0,Serviced Residence (Intermediate),1203.0,Fully Furnished,Built-up
23437,Damansara Heights,1750000.0,4+1,4.0,2.0,Serviced Residence (Intermediate),2078.0,Partly Furnished,Built-up
23438,Damansara Heights,1900000.0,4+1,4.0,2.0,Serviced Residence (Intermediate),2078.0,Partly Furnished,Built-up
23439,Damansara Heights,1785170.0,1+1,2.0,2.0,Serviced Residence (Intermediate),1184.0,Partly Furnished,Built-up
23440,Damansara Heights,2200000.0,2+1,4.0,2.0,Serviced Residence (Intermediate),1668.0,Partly Furnished,Built-up
23441,Damansara Heights,1698000.0,1,2.0,2.0,Serviced Residence (Intermediate),1168.0,Partly Furnished,Built-up
23442,Damansara Heights,1400000.0,3,3.0,1.0,Serviced Residence (Intermediate),1480.0,Partly Furnished,Built-up
23443,Damansara Heights,2200000.0,2+1,4.0,2.0,Serviced Residence (Intermediate),1668.0,Partly Furnished,Built-up
23444,Damansara Heights,1660000.0,1+1,2.0,2.0,Serviced Residence (Intermediate),1186.0,Partly Furnished,Built-up
23447,Bukit Jalil,2300000.0,4,4.0,3.0,Condominium,3260.0,Partly Furnished,Built-up
23450,Cheras,608000.0,3+1,2.0,2.0,Condominium (Intermediate),1394.0,Partly Furnished,Built-up
23451,Kepong,315000.0,3,2.0,1.0,Apartment,850.0,Partly Furnished,Built-up
23452,Segambut,1280000.0,3+1,4.0,2.0,Condominium,1796.0,Partly Furnished,Built-up
23453,Segambut,1380000.0,3+1,4.0,2.0,Condominium,1856.0,Partly Furnished,Built-up
23454,Segambut,900000.0,3,2.0,2.0,Condominium (Corner),1300.0,Partly Furnished,Built-up
23455,Desa ParkCity,910000.0,1+1,1.0,2.0,Condominium (Corner),917.0,Partly Furnished,Built-up
23456,Dutamas,480000.0,3,2.0,1.0,Condominium (Intermediate),1100.0,Partly Furnished,Built-up
23457,Jalan Kuching,500000.0,2,2.0,1.0,Condominium (Corner),1020.0,Partly Furnished,Built-up
23458,Jalan Kuching,400000.0,3,2.0,1.0,Condominium,1050.0,Partly Furnished,Built-up
23459,Kepong,730000.0,4,3.0,4.0,2-sty Terrace/Link House (Intermediate),1870.0,Partly Furnished,Land area
23462,Segambut,580000.0,3,2.0,1.0,Condominium,1128.0,Partly Furnished,Built-up
23464,Dutamas,470000.0,3,2.0,1.0,Condominium (Intermediate),1100.0,Partly Furnished,Built-up
23465,Kepong,440000.0,3,2.0,4.0,1-sty Terrace/Link House (Intermediate),1430.0,Partly Furnished,Land area
23466,Dutamas,450000.0,3,3.0,1.0,Condominium,1450.0,Partly Furnished,Built-up
23470,Jalan Kuching,450000.0,3,2.0,1.0,Condominium,1100.0,Partly Furnished,Built-up
23471,Jalan Ipoh,500000.0,3,2.0,2.0,Condominium (Intermediate),1215.0,Partly Furnished,Built-up
23472,Jalan Kuching,520000.0,3,2.0,1.0,Condominium (Intermediate),1200.0,Partly Furnished,Built-up
23473,Segambut,620000.0,3,3.0,2.0,Condominium,1155.0,Partly Furnished,Built-up
23474,Bandar Menjalara,398000.0,3,2.0,1.0,Condominium,1076.0,Partly Furnished,Built-up
23476,Kepong,588000.0,4,2.0,3.0,Serviced Residence (Corner),1292.0,Partly Furnished,Built-up
23478,Dutamas,500000.0,3,2.0,1.0,Condominium (Intermediate),1100.0,Partly Furnished,Built-up
23479,Mont Kiara,850000.0,4,2.0,3.0,Condominium (Corner),1550.0,Partly Furnished,Built-up
23480,Dutamas,465000.0,3,2.0,1.0,Condominium,1326.0,Partly Furnished,Built-up
23481,Kepong,490000.0,3,2.0,3.0,Serviced Residence (Intermediate),1137.0,Partly Furnished,Built-up
23482,Desa ParkCity,1300000.0,3,2.0,2.0,Condominium (Intermediate),1389.0,Partly Furnished,Built-up
23483,Desa ParkCity,1450000.0,3+1,3.0,2.0,Condominium (Intermediate),1680.0,Partly Furnished,Built-up
23484,Mont Kiara,1200000.0,5,4.0,5.0,Condominium (Corner),2800.0,Partly Furnished,Built-up
23485,Desa ParkCity,1380000.0,3+1,3.0,2.0,Condominium (Intermediate),1572.0,Partly Furnished,Built-up
23486,Desa ParkCity,1250000.0,4,3.0,2.0,Condominium (Intermediate),1421.0,Partly Furnished,Built-up
23487,Kepong,1490000.0,6,6.0,3.0,3-sty Terrace/Link House (Intermediate),3040.0,Fully Furnished,Land area
23488,Bukit Tunku (Kenny Hills),1550000.0,3+1,4.0,1.0,Condominium,2100.0,Fully Furnished,Built-up
23489,Bandar Menjalara,435000.0,3,2.0,2.0,Condominium (Intermediate),1076.0,Partly Furnished,Built-up
23490,Bandar Menjalara,350000.0,2+1,2.0,1.0,Serviced Residence,802.0,Partly Furnished,Built-up
23491,Setapak,358000.0,3,2.0,2.0,Condominium,960.0,Partly Furnished,Built-up
23492,Setapak,378000.0,3,2.0,2.0,Condominium,960.0,Partly Furnished,Built-up
23493,Jalan Kuching,750000.0,3+1,3.0,1.0,Condominium (Corner),1580.0,Partly Furnished,Built-up
23494,KL City,410000.0,3,2.0,1.0,Condominium,860.0,Partly Furnished,Built-up
23495,Wangsa Maju,390000.0,4,2.0,1.0,Apartment,1207.0,Partly Furnished,Built-up
23496,Bandar Menjalara,338000.0,3,2.0,1.0,Serviced Residence,981.0,Partly Furnished,Built-up
23497,KL City,388000.0,3,2.0,1.0,Condominium (Corner),860.0,Partly Furnished,Built-up
23499,Segambut,215000.0,3,2.0,1.0,Apartment (Intermediate),918.0,Partly Furnished,Built-up
23500,Segambut,205000.0,3,2.0,1.0,Flat (Intermediate),935.0,Partly Furnished,Built-up
23501,Bandar Menjalara,740000.0,4,2.0,2.0,Condominium (Intermediate),1358.0,Partly Furnished,Built-up
23502,Kepong,300000.0,3,2.0,1.0,Apartment (Corner),850.0,Partly Furnished,Built-up
23503,Jalan Sultan Ismail,850000.0,2,2.0,1.0,Serviced Residence,1120.0,Partly Furnished,Built-up
23505,Jalan Sultan Ismail,780000.0,1+1,2.0,1.0,Serviced Residence,972.0,Partly Furnished,Built-up
23506,Segambut,700000.0,4,3.0,2.0,Condominium,1298.0,Partly Furnished,Built-up
23507,Bukit Jalil,690000.0,4,3.0,2.0,Condominium (Intermediate),690000.0,Partly Furnished,Built-up
23508,Kepong,460000.0,3,2.0,1.0,Serviced Residence (Intermediate),1137.0,Partly Furnished,Built-up
23509,Segambut,930000.0,3,2.0,2.0,Condominium (Corner),1300.0,Partly Furnished,Built-up
23510,Segambut,950000.0,3,2.0,2.0,Condominium (Corner),1319.0,Partly Furnished,Built-up
23511,Segambut,350000.0,3,2.0,1.0,Apartment (Corner),850.0,Partly Furnished,Built-up
23512,Kepong,290000.0,3,2.0,1.0,Apartment (Intermediate),1010.0,Partly Furnished,Built-up
23513,Sentul,340000.0,3,2.0,1.0,Condominium (Intermediate),877.0,Partly Furnished,Built-up
23514,Jalan Kuching,350000.0,3,2.0,1.0,Apartment,903.0,Partly Furnished,Built-up
23515,Kepong,420000.0,3,2.0,1.0,Condominium,1150.0,Partly Furnished,Built-up
23516,Kepong,440000.0,3,2.0,1.0,Apartment,1001.0,Partly Furnished,Built-up
23521,Segambut,620000.0,3,3.0,2.0,Condominium,1155.0,Partly Furnished,Built-up
23523,Bandar Menjalara,410000.0,3,2.0,1.0,Condominium (Intermediate),1076.0,Partly Furnished,Built-up
23525,KL City,470000.0,3,2.0,1.0,Condominium (Corner),1065.0,Partly Furnished,Built-up
23527,Segambut,515000.0,3,2.0,1.0,Apartment (Corner),1260.0,Partly Furnished,Built-up
23529,Kepong,380000.0,3,2.0,3.0,1-sty Terrace/Link House (Intermediate),1430.0,Partly Furnished,Land area
23530,Kepong,355000.0,3,2.0,1.0,Condominium (Intermediate),969.0,Partly Furnished,Built-up
23533,Dutamas,590000.0,3,2.0,2.0,Condominium,1475.0,Partly Furnished,Built-up
23534,Mont Kiara,650000.0,3,2.0,2.0,Condominium (Intermediate),1015.0,Unfurnished,Built-up
23535,Bandar Menjalara,375000.0,2+1,2.0,1.0,Apartment,972.0,Partly Furnished,Built-up
23537,Segambut,3990000.0,6+1,7.0,3.0,Bungalow,5343.0,Unfurnished,Built-up
23542,Bukit Bintang,888000.0,1,1.0,1.0,Condominium (Intermediate),538.0,Fully Furnished,Built-up
23543,Sungai Besi,560000.0,3,2.0,1.0,Condominium (EndLot),904.0,Partly Furnished,Built-up
23544,Brickfields,288000.0,Studio,1.0,1.0,Serviced Residence (Intermediate),250.0,Fully Furnished,Built-up
23545,Setapak,520000.0,2,3.0,2.0,Condominium (Intermediate),1100.0,Unfurnished,Built-up
23549,Puchong,550000.0,3,2.0,2.0,2-sty Terrace/Link House (Intermediate),1614.0,Partly Furnished,Built-up
23550,Brickfields,490000.0,2,2.0,1.0,Serviced Residence (Intermediate),486.0,Fully Furnished,Built-up
23551,Pantai,630000.0,3,2.0,2.0,Serviced Residence (Intermediate),900.0,Partly Furnished,Built-up
23552,Pantai,540000.0,2+1,2.0,2.0,Serviced Residence (Intermediate),805.0,Partly Furnished,Built-up
23553,Pantai,360000.0,1+1,1.0,1.0,Serviced Residence (Intermediate),518.0,Partly Furnished,Built-up
23554,Mont Kiara,1400000.0,4+2,3.0,3.0,Condominium (Corner),2513.0,Partly Furnished,Built-up
23556,Sri Hartamas,3600000.0,5+1,6.0,4.0,Semi-detached House (Intermediate),4941.0,Partly Furnished,Land area
23558,Bukit Jalil,700000.0,3,2.0,2.0,Condominium (Corner),1407.0,Partly Furnished,Built-up
23560,Taman Desa,340000.0,3,2.0,1.0,Apartment,829.0,Partly Furnished,Built-up
23564,Bukit Jalil,520000.0,3,2.0,2.0,Condominium (Intermediate),1100.0,Unfurnished,Built-up
23565,Kepong,593000.0,3+1,2.0,2.0,Serviced Residence (Corner),1292.0,Unfurnished,Built-up
23566,KLCC,388888.0,Studio,1.0,1.0,Serviced Residence,450.0,Fully Furnished,Built-up
23567,Cheras,358000.0,3,2.0,1.0,Serviced Residence (Intermediate),950.0,Partly Furnished,Built-up
23568,Cheras,440000.0,2,2.0,2.0,Serviced Residence,1104.0,Unfurnished,Built-up
23569,Sentul,370000.0,2,1.0,1.0,Serviced Residence (Intermediate),0.0,Unfurnished,Land area
23570,Setapak,389000.0,1+1,2.0,1.0,Condominium (Intermediate),657.0,Partly Furnished,Built-up
23571,Setapak,395000.0,1+1,2.0,1.0,Condominium (Intermediate),650.0,Partly Furnished,Built-up
23572,Setapak,390000.0,1+1,2.0,1.0,Condominium (Intermediate),657.0,Partly Furnished,Built-up
23573,Jalan Kuching,428888.0,3,2.0,2.0,Serviced Residence,878.0,Unfurnished,Built-up
23574,Setapak,385000.0,1+1,2.0,1.0,Condominium (Intermediate),657.0,Partly Furnished,Land area
23575,Wangsa Maju,395000.0,1+1,2.0,1.0,Serviced Residence,657.0,Partly Furnished,Land area
23576,Wangsa Maju,389000.0,1+1,2.0,1.0,Condominium (Intermediate),657.0,Partly Furnished,Built-up
23577,Setapak,390000.0,1+1,2.0,1.0,Condominium (Intermediate),657.0,Partly Furnished,Built-up
23578,Wangsa Maju,369000.0,2,2.0,1.0,Serviced Residence,657.0,Partly Furnished,Land area
23579,Wangsa Maju,389000.0,2,2.0,1.0,Condominium (Intermediate),657.0,Partly Furnished,Built-up
23580,Dutamas,438888.0,2+1,2.0,1.0,Serviced Residence,656.0,Partly Furnished,Built-up
23581,Cheras,440000.0,3,2.0,2.0,Condominium (Intermediate),1104.0,Unfurnished,Built-up
23582,Cheras,440000.0,3,2.0,2.0,Condominium (Intermediate),1104.0,Unfurnished,Built-up
23583,Cheras,440000.0,3,2.0,2.0,Condominium (Intermediate),1104.0,Unfurnished,Built-up
23584,Cheras,440000.0,3,2.0,2.0,Condominium (Intermediate),1104.0,Unfurnished,Built-up
23585,Kepong,448000.0,3,2.0,2.0,Condominium (Corner),0.0,Unknown,Land area
23594,KL Sentral,2100000.0,4+1,4.0,2.0,Condominium (Corner),2886.0,Fully Furnished,Built-up
23595,Sentul,540000.0,3,2.0,1.0,Condominium (Corner),1163.0,Fully Furnished,Built-up
23596,Sentul,700000.0,3,3.0,2.0,Condominium (Corner),1502.0,Partly Furnished,Built-up
23597,Seputeh,788000.0,3+1,3.0,2.0,Serviced Residence (Corner),1288.0,Fully Furnished,Land area
23602,Kuchai Lama,459000.0,3,2.0,2.0,Condominium,1075.0,Unfurnished,Built-up
23603,Bukit Jalil,320000.0,1+1,1.0,1.0,Condominium (Intermediate),775.0,Partly Furnished,Built-up
23604,KLCC,2200000.0,1+1,1.0,1.0,Serviced Residence (EndLot),1087.0,Unfurnished,Built-up
23606,Jalan Klang Lama (Old Klang Road),388000.0,3,2.0,2.0,Serviced Residence,950.0,Fully Furnished,Built-up
23608,Jalan Klang Lama (Old Klang Road),250000.0,3,2.0,1.0,Apartment (Corner),850.0,Partly Furnished,Built-up
23611,Cheras,340000.0,3,2.0,1.0,Apartment (Intermediate),910.0,Unfurnished,Built-up
23614,Cheras,432000.0,3,2.0,1.0,Condominium (Intermediate),850.0,Unfurnished,Built-up
23617,Dutamas,1080000.0,2,2.0,1.0,Serviced Residence,1148.0,Fully Furnished,Built-up
23618,Cheras,514900.0,3,2.0,2.0,Condominium,947.0,Unfurnished,Built-up
23619,Cheras,380000.0,3,2.0,1.0,Condominium,960.0,Partly Furnished,Built-up
23620,Taman Desa,465000.0,2,2.0,1.0,Serviced Residence (Intermediate),719.0,Fully Furnished,Built-up
23621,Cheras,2800000.0,6+,5.0,4.0,Bungalow (Intermediate),10500.0,Unfurnished,Land area
23622,Cheras,514000.0,3,2.0,2.0,Condominium (Intermediate),947.0,Unfurnished,Built-up
23623,Sri Petaling,3500000.0,7,7.0,6.0,Semi-detached House (Intermediate),4800.0,Partly Furnished,Land area
23625,Cheras,432000.0,3,2.0,2.0,Condominium,850.0,Partly Furnished,Built-up
23626,Cheras,432000.0,3,2.0,1.0,Condominium (Intermediate),850.0,Unfurnished,Built-up
23629,Damansara Heights,16000000.0,6+1,10.0,5.0,Bungalow,12500.0,Partly Furnished,Land area
23630,Mont Kiara,2200000.0,3+1,4.0,2.0,Serviced Residence (EndLot),2932.0,Partly Furnished,Built-up
23634,Mont Kiara,2350000.0,4+1,4.0,3.0,Condominium (Corner),2973.0,Unfurnished,Built-up
23635,Bukit Jalil,590000.0,3,2.0,2.0,Condominium (Intermediate),1073.0,Partly Furnished,Built-up
23636,Mont Kiara,1680000.0,3+1,4.0,2.0,Condominium,1496.0,Partly Furnished,Built-up
23638,Bangsar South,1600000.0,3+1,4.0,2.0,Condominium,2068.0,Fully Furnished,Built-up
23641,Ampang,1580000.0,3+1,4.0,2.0,Condominium (Intermediate),1838.0,Fully Furnished,Built-up
23642,Cheras,693000.0,2,2.0,1.0,Condominium,750.0,Partly Furnished,Built-up
23643,Damansara Heights,2650000.0,4,3.0,4.0,2-sty Terrace/Link House (Intermediate),2800.0,Partly Furnished,Land area
23649,Desa ParkCity,1650000.0,3+1,3.0,2.0,Condominium (Intermediate),2066.0,Partly Furnished,Built-up
23657,Jalan Klang Lama (Old Klang Road),370000.0,3,2.0,1.0,Condominium (Intermediate),1032.0,Unfurnished,Built-up
23660,Pantai,788000.0,3,2.0,2.0,Condominium,1019.0,Fully Furnished,Built-up
23661,Ampang,499000.0,1,1.0,1.0,Serviced Residence (Intermediate),705.0,Partly Furnished,Built-up
23662,Ampang,599000.0,2,1.0,1.0,Serviced Residence (Intermediate),850.0,Partly Furnished,Built-up
23663,Ampang,770000.0,3,2.0,1.0,Serviced Residence (Intermediate),888.0,Partly Furnished,Built-up
23664,Ampang,610000.0,2,2.0,1.0,Serviced Residence (Intermediate),735.0,Partly Furnished,Built-up
23665,Jalan Klang Lama (Old Klang Road),382000.0,3,2.0,2.0,Serviced Residence (Intermediate),950.0,Fully Furnished,Built-up
23667,KLCC,2650000.0,2+1,2.0,2.0,Serviced Residence (Intermediate),1463.0,Partly Furnished,Built-up
23668,KLCC,1400000.0,1,1.0,1.0,Serviced Residence (Intermediate),925.0,Partly Furnished,Built-up
23674,Mont Kiara,610000.0,Studio,1.0,1.0,Serviced Residence,462.0,Fully Furnished,Built-up
23677,Bangsar,1750000.0,3+1,3.0,1.0,Condominium (Corner),1650.0,Partly Furnished,Built-up
23680,Mont Kiara,3484000.0,4+1,5.0,3.0,Condominium,3668.0,Partly Furnished,Built-up
23683,Taman Tun Dr Ismail,1000000.0,1,1.0,1.0,Serviced Residence (Corner),840.0,Partly Furnished,Built-up
23687,Sungai Besi,600000.0,2+1,2.0,2.0,Serviced Residence (Intermediate),1025.0,Partly Furnished,Built-up
23688,Sungai Besi,800000.0,3,3.0,2.0,Serviced Residence (Corner),1430.0,Partly Furnished,Built-up
23689,Kepong,525000.0,3,2.0,2.0,Serviced Residence,1076.0,Partly Furnished,Built-up
23691,KLCC,1950000.0,3,3.0,2.0,Serviced Residence (Corner),1819.0,Fully Furnished,Built-up
23695,Bangsar,9000000.0,14,15.0,20.0,Bungalow (Intermediate),10000.0,Unknown,Land area
23696,Kepong,488000.0,3,2.0,1.0,Apartment (Intermediate),1121.0,Partly Furnished,Land area
23700,Kepong,380000.0,3,2.0,1.0,Apartment (Corner),850.0,Partly Furnished,Built-up
23701,Bandar Menjalara,425000.0,3,2.0,1.0,Condominium,987.0,Partly Furnished,Built-up
23702,Bandar Menjalara,450000.0,3+1,2.0,2.0,Condominium (Corner),980.0,Partly Furnished,Built-up
23708,Setapak,250000.0,3,2.0,1.0,Condominium,845.0,Fully Furnished,Built-up
23709,Setapak,270000.0,3,2.0,1.0,Condominium,850.0,Partly Furnished,Built-up
23713,Sentul,668000.0,3,3.0,1.0,Condominium,1087.0,Partly Furnished,Built-up
23714,Mont Kiara,1500000.0,3+1,4.0,3.0,Condominium,2648.0,Fully Furnished,Built-up
23721,Jalan Kuching,580000.0,3+1,2.0,1.0,Condominium (Corner),1295.0,Partly Furnished,Built-up
